,Assault,Rape
Alabama,236,21.2
Alaska,263,44.5
Arizona,294,31
Arkansas,190,19.5
California,276,40.6
Colorado,204,38.7
Connecticut,110,11.1
Delaware,238,15.8
Florida,335,31.9
Georgia,211,25.8
Hawaii,46,20.2
Idaho,120,14.2
Illinois,249,24
Indiana,113,21
Iowa,56,11.3
Kansas,115,18
Kentucky,109,16.3
Louisiana,249,22.2
Maine,83,7.8
Maryland,300,27.8
Massachusetts,149,16.3
Michigan,255,35.1
Minnesota,72,14.9
Mississippi,259,17.1
Missouri,178,28.2
Montana,109,16.4
Nebraska,102,16.5
Nevada,252,46
New Hampshire,57,9.5
New Jersey,159,18.8
New Mexico,285,32.1
New York,254,26.1
North Carolina,337,16.1
North Dakota,45,7.3
Ohio,120,21.4
Oklahoma,151,20
Oregon,159,29.3
Pennsylvania,106,14.9
Rhode Island,174,8.3
South Carolina,279,22.5
South Dakota,86,12.8
Tennessee,188,26.9
Texas,201,25.5
Utah,120,22.9
Vermont,48,11.2
Virginia,156,20.7
Washington,145,26.2
West Virginia,81,9.3
Wisconsin,53,10.8
Wyoming,161,15.6
